vm,benchmark,avg,lo,hi
GraalVM CE 22.2 JDK 17,akka-uct,1.014890000736199,1.0003410159352844,1.0314790780871865
GraalVM CE 22.2 JDK 17,als,1.0982175668800338,1.060956840337656,1.1236894296954294
GraalVM CE 22.2 JDK 17,chi-square,0.9796528249899185,0.9589026018464506,1.0062613625484642
GraalVM CE 22.2 JDK 17,dec-tree,1.0640008742634648,1.0526395818074417,1.0762598841236004
GraalVM CE 22.2 JDK 17,dotty,1.0393153805377993,1.0337201191214984,1.0447002934074083
GraalVM CE 22.2 JDK 17,finagle-chirper,0.9835146532948179,0.9164901207859889,1.0504595130987786
GraalVM CE 22.2 JDK 17,finagle-http,1.0518692234093643,1.0339351075574739,1.064494580135461
GraalVM CE 22.2 JDK 17,fj-kmeans,0.9741762556176633,0.96616165744272,0.9838276528836527
GraalVM CE 22.2 JDK 17,future-genetic,1.0616122727075175,1.04456460184912,1.087997736675144
GraalVM CE 22.2 JDK 17,gauss-mix,1.1099712742908492,0.9498454436094593,1.406131505712035
GraalVM CE 22.2 JDK 17,log-regression,1.0029305331789098,0.9902966035547418,1.0118657602800882
GraalVM CE 22.2 JDK 17,mnemonics,0.8541477078402708,0.7871864229716119,0.9271317989984323
GraalVM CE 22.2 JDK 17,movie-lens,1.0210453189315762,1.0139843503452532,1.0286195579471158
GraalVM CE 22.2 JDK 17,naive-bayes,1.0726323445800159,0.9988105865255916,1.1550106867979921
GraalVM CE 22.2 JDK 17,page-rank,1.0126699995672495,0.9884112940074546,1.0344059750705008
GraalVM CE 22.2 JDK 17,par-mnemonics,0.8813600342810403,0.812753054306536,0.9176366019468142
GraalVM CE 22.2 JDK 17,philosophers,1.1726917286821823,1.0861988787001677,1.2465447779766325
GraalVM CE 22.2 JDK 17,reactors,1.0116433084257161,1.0009491444637706,1.0211162047961226
GraalVM CE 22.2 JDK 17,rx-scrabble,1.0074543825252844,0.9933136583962201,1.0268655386836834
GraalVM CE 22.2 JDK 17,scala-doku,1.8179552108161996,1.7424292886613246,1.8656952696524849
GraalVM CE 22.2 JDK 17,scala-kmeans,0.905670459659373,0.8997555046794249,0.9103418623245393
GraalVM CE 22.2 JDK 17,scala-stm-bench7,0.9321341084825473,0.9194033090117233,0.9450787180698809
GraalVM CE 22.2 JDK 17,scrabble,1.1641552953043939,1.1397783140589115,1.1849538048679276
GraalVM EE 22.2 JDK 17,akka-uct,1.0869515845648932,1.075545731270697,1.0971728460983288
GraalVM EE 22.2 JDK 17,als,1.5576339893177173,1.4170324946701565,1.5981573325215992
GraalVM EE 22.2 JDK 17,chi-square,1.1741802275839133,1.1359035016327654,1.2260509111934708
GraalVM EE 22.2 JDK 17,dec-tree,1.146892966425431,1.1323311712437893,1.1608827434271602
GraalVM EE 22.2 JDK 17,dotty,1.2326482617433876,1.2250944834968003,1.240169733817641
GraalVM EE 22.2 JDK 17,finagle-chirper,1.263122789814704,1.2007323548191189,1.3247809662107402
GraalVM EE 22.2 JDK 17,finagle-http,1.113326601558821,1.097302891371519,1.126387738918788
GraalVM EE 22.2 JDK 17,fj-kmeans,1.0243245510247212,1.0188694983659081,1.031358008919393
GraalVM EE 22.2 JDK 17,future-genetic,1.343090057938621,1.3159375415288406,1.3669212565376072
GraalVM EE 22.2 JDK 17,gauss-mix,1.4833772514683337,1.2408573569236774,1.9220392399432746
GraalVM EE 22.2 JDK 17,log-regression,1.0766911758685995,1.0593119546656269,1.0911934780332626
GraalVM EE 22.2 JDK 17,mnemonics,2.1263429662140143,1.9660086325968584,2.2994557875756985
GraalVM EE 22.2 JDK 17,movie-lens,1.0819399706669748,1.0734594652812601,1.0900695625311299
GraalVM EE 22.2 JDK 17,naive-bayes,1.7134806241175382,1.3002792595168033,2.3172738711266345
GraalVM EE 22.2 JDK 17,page-rank,1.1579885864782824,1.1293845800884967,1.1865212746806733
GraalVM EE 22.2 JDK 17,par-mnemonics,2.332804069894691,2.150140394501795,2.432287603809097
GraalVM EE 22.2 JDK 17,philosophers,1.3131539083134662,1.22465804367974,1.3857629376434772
GraalVM EE 22.2 JDK 17,reactors,1.1066575409666717,1.0935781759722023,1.119234436684114
GraalVM EE 22.2 JDK 17,rx-scrabble,1.1494024530790687,1.137193471959441,1.1734822559054447
GraalVM EE 22.2 JDK 17,scala-doku,1.2377545354876227,1.0900609413024787,1.2924917975400763
GraalVM EE 22.2 JDK 17,scala-kmeans,1.3452846548397028,1.3181321310468677,1.4175570073189872
GraalVM EE 22.2 JDK 17,scala-stm-bench7,1.0784055785101578,1.053215352234043,1.0939666994625477
GraalVM EE 22.2 JDK 17,scrabble,2.227222948069879,2.104462168110971,2.3508649676962965
OpenJDK 17,akka-uct,1,0.9903465720699817,1.0096953140281324
OpenJDK 17,als,1,0.9898437998446543,1.0101294703622818
OpenJDK 17,chi-square,1,0.9899196919405059,1.0101364080889044
OpenJDK 17,dec-tree,1,0.9889182811236283,1.0113571800629733
OpenJDK 17,dotty,1,0.9941177447156907,1.0060591698970378
OpenJDK 17,finagle-chirper,1,0.9455811431239634,1.057803988556182
OpenJDK 17,finagle-http,1,0.9876777086331608,1.0126811007087997
OpenJDK 17,fj-kmeans,1,0.9947816062236041,1.005301629998841
OpenJDK 17,future-genetic,1,0.9851856451681867,1.0148996063737858
OpenJDK 17,gauss-mix,1,0.7658286336911609,1.3078215829644981
OpenJDK 17,log-regression,1,0.9894733400550029,1.0105873204313442
OpenJDK 17,mnemonics,1,0.8930159231697398,1.1163496572426084
OpenJDK 17,movie-lens,1,0.9928210259912524,1.0070329755773184
OpenJDK 17,naive-bayes,1,0.9583655358268183,1.0449273253317575
OpenJDK 17,page-rank,1,0.9706121392530105,1.0311062629676697
OpenJDK 17,par-mnemonics,1,0.9244318948937766,1.0822783977057842
OpenJDK 17,philosophers,1,0.9221156955380738,1.0871800686633881
OpenJDK 17,reactors,1,0.9903663052596099,1.009629791199666
OpenJDK 17,rx-scrabble,1,0.9826818261925193,1.0182153494580202
OpenJDK 17,scala-doku,1,0.990352648319474,1.0099052313914947
OpenJDK 17,scala-kmeans,1,0.992761740187292,1.007321737800911
OpenJDK 17,scala-stm-bench7,1,0.9880090333893831,1.012384333215918
OpenJDK 17,scrabble,1,0.9852857030534962,1.0149039181302815
