vm,benchmark,avg,lo,hi
GraalVM CE 21.3 JDK 8,akka-uct,1.0714996924535882,1.0563985817401194,1.0898407562372925
GraalVM CE 21.3 JDK 8,als,1.074324909406655,1.0661035409775395,1.0835053003159658
GraalVM CE 21.3 JDK 8,chi-square,1.4101348089760106,1.246296321256106,1.5310476078847892
GraalVM CE 21.3 JDK 8,db-shootout,1.0290075317621272,1.0024342948339544,1.0459383891217047
GraalVM CE 21.3 JDK 8,dec-tree,1.0764981183687379,1.0662717716969785,1.0852899629858064
GraalVM CE 21.3 JDK 8,dotty,1.1268023342196785,1.1194685725926656,1.1334318399953562
GraalVM CE 21.3 JDK 8,finagle-chirper,1.0384469032737689,0.9999400883584133,1.0654511529820139
GraalVM CE 21.3 JDK 8,finagle-http,1.0682375825597281,1.0547613416511736,1.0811265884911996
GraalVM CE 21.3 JDK 8,fj-kmeans,0.9706094320585431,0.9661499185382574,0.978800217564321
GraalVM CE 21.3 JDK 8,future-genetic,0.9548528336920207,0.9169271264639025,1.0071804001566227
GraalVM CE 21.3 JDK 8,gauss-mix,1.1090219118167575,1.0402537815140216,1.3930741494486736
GraalVM CE 21.3 JDK 8,log-regression,1.0423041524331236,1.0317546985060302,1.0536929166266895
GraalVM CE 21.3 JDK 8,mnemonics,0.9756398452249625,0.9557427605809832,1.0050829810239763
GraalVM CE 21.3 JDK 8,movie-lens,1.0369797893589185,1.030719798820137,1.0416521818895135
GraalVM CE 21.3 JDK 8,naive-bayes,1.155440185236948,1.0541930010730636,1.284188420745867
GraalVM CE 21.3 JDK 8,page-rank,0.9600768115339015,0.9152220406194054,1.028509144183073
GraalVM CE 21.3 JDK 8,par-mnemonics,0.9606986598617264,0.9371353990664467,0.9793724388449272
GraalVM CE 21.3 JDK 8,philosophers,1.1243502135264505,1.0816963978579923,1.1726150864076896
GraalVM CE 21.3 JDK 8,reactors,1.013188197259222,0.9841414911755931,1.043922475852291
GraalVM CE 21.3 JDK 8,rx-scrabble,0.9958872184568398,0.9828096562080845,1.0090869009035628
GraalVM CE 21.3 JDK 8,scala-doku,2.6064723877459413,2.3378174127535156,2.8379873166617884
GraalVM CE 21.3 JDK 8,scala-kmeans,4.560903749608299,4.54916874008318,4.572203156594765
GraalVM CE 21.3 JDK 8,scala-stm-bench7,1.0169328897031769,1.0036735194687816,1.0403254786406506
GraalVM CE 21.3 JDK 8,scrabble,1.2656022094195516,1.233287707835713,1.2955284432630436
GraalVM EE 21.3 JDK 8,akka-uct,1.1101000852586502,1.0892194107480118,1.1312183391136008
GraalVM EE 21.3 JDK 8,als,1.4299919423467937,1.4063554787077621,1.4510585348272234
GraalVM EE 21.3 JDK 8,chi-square,1.9663383658009228,1.7303654833147448,2.158261696735036
GraalVM EE 21.3 JDK 8,db-shootout,1.300690571757155,1.26448470518851,1.3222089857452046
GraalVM EE 21.3 JDK 8,dec-tree,1.2045063644857892,1.1874409084152722,1.21852020037386
GraalVM EE 21.3 JDK 8,dotty,1.3261388375497187,1.3180055736557652,1.33326411543337
GraalVM EE 21.3 JDK 8,finagle-chirper,1.3596381020095558,1.2219163715486978,1.4092849904535731
GraalVM EE 21.3 JDK 8,finagle-http,1.0799496806826276,1.0707393497156021,1.0894387654848134
GraalVM EE 21.3 JDK 8,fj-kmeans,1.0284199353921655,1.0183608665863557,1.0349255188836437
GraalVM EE 21.3 JDK 8,future-genetic,1.0519216344588642,1.0373029834391374,1.0710703831621557
GraalVM EE 21.3 JDK 8,gauss-mix,1.6218357737427807,1.3903956640485327,2.0704424754228157
GraalVM EE 21.3 JDK 8,log-regression,1.1719244005447977,1.158840171918883,1.1861859743053997
GraalVM EE 21.3 JDK 8,mnemonics,2.19176283225735,2.00927750344473,2.2701835265139665
GraalVM EE 21.3 JDK 8,movie-lens,1.0875899871765817,1.0803433622303549,1.094627716953462
GraalVM EE 21.3 JDK 8,naive-bayes,1.1978981404193083,1.0810998951895907,1.4902380417269923
GraalVM EE 21.3 JDK 8,page-rank,1.2311718604234967,1.1723314822777307,1.322353250426651
GraalVM EE 21.3 JDK 8,par-mnemonics,2.2154442422204004,2.1543890923206694,2.2694752613884375
GraalVM EE 21.3 JDK 8,philosophers,1.2951160956191845,1.248151273381344,1.3266627101454043
GraalVM EE 21.3 JDK 8,reactors,1.1416945067462014,1.1154013078641987,1.1726017344726347
GraalVM EE 21.3 JDK 8,rx-scrabble,1.1308191186788337,1.1218264602208743,1.1404600011593895
GraalVM EE 21.3 JDK 8,scala-doku,2.4383087887165593,2.2258083403772835,3.009440894535388
GraalVM EE 21.3 JDK 8,scala-kmeans,4.9345876459578575,4.876205151974954,4.990178978693268
GraalVM EE 21.3 JDK 8,scala-stm-bench7,1.110483691647983,1.0930578168525475,1.1370318331701081
GraalVM EE 21.3 JDK 8,scrabble,2.4243497579141478,2.319673017036902,2.504219086035249
OpenJDK 8,akka-uct,1,0.9839069172742815,1.0162634909247552
OpenJDK 8,als,1,0.9922850606697478,1.007857119799587
OpenJDK 8,chi-square,1,0.8755556457978808,1.1430539814980631
OpenJDK 8,db-shootout,1,0.973829514768335,1.0265262022093513
OpenJDK 8,dec-tree,1,0.9895403863906926,1.010594443023673
OpenJDK 8,dotty,1,0.9934984414818957,1.0066120155304255
OpenJDK 8,finagle-chirper,1,0.9814103169058354,1.019123660555029
OpenJDK 8,finagle-http,1,0.9936864842245642,1.0064408227939727
OpenJDK 8,fj-kmeans,1,0.9975136674148151,1.002495129184436
OpenJDK 8,future-genetic,1,0.9846095307912333,1.0157594896267337
OpenJDK 8,gauss-mix,1,0.8368811130177957,1.1988846325489702
OpenJDK 8,log-regression,1,0.9862900202103806,1.0142006536171406
OpenJDK 8,mnemonics,1,0.9667958986838425,1.0347306814952857
OpenJDK 8,movie-lens,1,0.996512405853131,1.003499856305788
OpenJDK 8,naive-bayes,1,0.871670198945712,1.1511804041743852
OpenJDK 8,page-rank,1,0.9254261203239249,1.0817860099243966
OpenJDK 8,par-mnemonics,1,0.9702170252152265,1.03081887601658
OpenJDK 8,philosophers,1,0.9725233936333935,1.0277769626153497
OpenJDK 8,reactors,1,0.9752792265348551,1.025068808717508
